species;treatment;T number;seed set
IPPU;IPAQ 50%;8;5
IPPU;IPAQ 50%;9;5
IPPU;IPAQ 50%;10;6
IPPU;IPAQ 100%;1;0
IPPU;IPAQ 100%;2;0
IPPU;IPAQ 100%;3;0
IPPU;IPAQ 100%;4;0
IPPU;IPAQ 100%;5;0
IPPU;IPAQ 100%;6;0
IPPU;IPAQ 100%;7;0
IPPU;IPAQ 100%;8;0
IPPU;IPAQ 100%;9;0
IPPU;IPAQ 100%;10;0
IPPU;RARA 50%;1;0
IPPU;RARA 50%;2;0
IPPU;RARA 50%;3;0
IPPU;RARA 50%;4;0
IPPU;RARA 50%;5;0
IPPU;RARA 50%;6;0
IPPU;RARA 50%;7;0
IPPU;RARA 50%;8;1
IPPU;RARA 50%;9;0
IPPU;RARA 50%;10;0
IPPU;RARA 100%;1;0
IPPU;RARA 100%;2;0
IPPU;RARA 100%;3;0
IPPU;RARA 100%;4;0
IPPU;RARA 100%;5;0
IPPU;RARA 100%;6;0
IPPU;RARA 100%;7;0
IPPU;RARA 100%;8;0
IPPU;RARA 100%;9;0
IPPU;RARA 100%;10;0
