"","pollen","species","family"
"102",33500,"White mustard","Brassicaceae"
"103",32000,"White mustard","Brassicaceae"
"104",20750,"White mustard","Brassicaceae"
"105",49500,"White mustard","Brassicaceae"
"106",45250,"White mustard","Brassicaceae"
"107",23000,"White mustard","Brassicaceae"
"108",35000,"White mustard","Brassicaceae"
"109",29750,"White mustard","Brassicaceae"
"110",16750,"White mustard","Brassicaceae"
"111",16500,"White mustard","Brassicaceae"
"112",27250,"White mustard","Brassicaceae"
"113",33500,"White mustard","Brassicaceae"
"114",27500,"White mustard","Brassicaceae"
"115",29750,"White mustard","Brassicaceae"
"116",25000,"White mustard","Brassicaceae"
"117",34000,"White mustard","Brassicaceae"
"118",31250,"White mustard","Brassicaceae"
"119",52500,"White mustard","Brassicaceae"
"120",22000,"White mustard","Brassicaceae"
"121",64250,"Pak choi","Brassicaceae"
"122",86250,"Pak choi","Brassicaceae"
"123",102750,"Pak choi","Brassicaceae"
"124",111250,"Pak choi","Brassicaceae"
"125",88250,"Pak choi","Brassicaceae"
"126",57500,"Pak choi","Brassicaceae"
"127",41250,"Pak choi","Brassicaceae"
"128",42500,"Pak choi","Brassicaceae"
"129",47500,"Pak choi","Brassicaceae"
"130",61250,"Pak choi","Brassicaceae"
"131",31250,"Pak choi","Brassicaceae"
"132",46500,"Pak choi","Brassicaceae"
"133",54250,"Pak choi","Brassicaceae"
"134",84750,"Pak choi","Brassicaceae"
"135",67000,"Pak choi","Brassicaceae"
"136",68500,"Pak choi","Brassicaceae"
"137",72750,"Pak choi","Brassicaceae"
"138",52250,"Pak choi","Brassicaceae"
"139",39750,"Pak choi","Brassicaceae"
"140",64250,"Pak choi","Brassicaceae"
"141",245250,"Rocket","Brassicaceae"
"142",129250,"Rocket","Brassicaceae"
"143",149250,"Rocket","Brassicaceae"
"144",323250,"Rocket","Brassicaceae"
"145",227000,"Rocket","Brassicaceae"
"146",192000,"Rocket","Brassicaceae"
"147",191750,"Rocket","Brassicaceae"
"148",235000,"Rocket","Brassicaceae"
"149",293750,"Rocket","Brassicaceae"
"150",106000,"Rocket","Brassicaceae"
"151",232000,"Rocket","Brassicaceae"
"152",194750,"Rocket","Brassicaceae"
"153",126250,"Rocket","Brassicaceae"
"154",159500,"Rocket","Brassicaceae"
"155",103250,"Rocket","Brassicaceae"
"156",289500,"Rocket","Brassicaceae"
"157",166500,"Rocket","Brassicaceae"
"158",236250,"Rocket","Brassicaceae"
"159",191000,"Rocket","Brassicaceae"
"160",195750,"Rocket","Brassicaceae"
"161",4250,"Morning glory","Convolvulaceae"
"162",4000,"Morning glory","Convolvulaceae"
"163",4000,"Morning glory","Convolvulaceae"
"164",1500,"Morning glory","Convolvulaceae"
"165",7750,"Morning glory","Convolvulaceae"
"166",3500,"Morning glory","Convolvulaceae"
"167",4500,"Morning glory","Convolvulaceae"
"168",1000,"Morning glory","Convolvulaceae"
"169",7500,"Morning glory","Convolvulaceae"
"170",4000,"Morning glory","Convolvulaceae"
"171",1750,"Morning glory","Convolvulaceae"
"172",8500,"Morning glory","Convolvulaceae"
"173",6500,"Morning glory","Convolvulaceae"
"174",7500,"Morning glory","Convolvulaceae"
"175",5000,"Morning glory","Convolvulaceae"
"176",6750,"Morning glory","Convolvulaceae"
"177",6750,"Morning glory","Convolvulaceae"
"178",13500,"Morning glory","Convolvulaceae"
"179",9500,"Morning glory","Convolvulaceae"
"180",10000,"Morning glory","Convolvulaceae"
"181",7000,"Water morning glory","Convolvulaceae"
"182",6500,"Water morning glory","Convolvulaceae"
"183",8500,"Water morning glory","Convolvulaceae"
"184",10250,"Water morning glory","Convolvulaceae"
"185",5750,"Water morning glory","Convolvulaceae"
"186",8500,"Water morning glory","Convolvulaceae"
"187",10500,"Water morning glory","Convolvulaceae"
"188",5000,"Water morning glory","Convolvulaceae"
"189",6250,"Water morning glory","Convolvulaceae"
"190",9000,"Water morning glory","Convolvulaceae"
"191",NA,"Water morning glory","Convolvulaceae"
"192",NA,"Water morning glory","Convolvulaceae"
"193",NA,"Water morning glory","Convolvulaceae"
"194",NA,"Water morning glory","Convolvulaceae"
"195",NA,"Water morning glory","Convolvulaceae"
"196",NA,"Water morning glory","Convolvulaceae"
"197",NA,"Water morning glory","Convolvulaceae"
"198",NA,"Water morning glory","Convolvulaceae"
"199",NA,"Water morning glory","Convolvulaceae"
"200",NA,"Water morning glory","Convolvulaceae"
