"","Species","Treatment","Treatment.number","Seed.production","Family","Scaled_seed_set"
"344","Solanum melongena","Ipomoea aquatica",0,0,"Convolvulaceae",-0.921656312967164
"345","Solanum melongena","Ipomoea aquatica",0,0,"Convolvulaceae",-0.921656312967164
"346","Solanum melongena","Ipomoea aquatica",0,0,"Convolvulaceae",-0.921656312967164
"347","Solanum melongena","Ipomoea aquatica",0,0,"Convolvulaceae",-0.921656312967164
"348","Solanum melongena","Ipomoea aquatica",0,0,"Convolvulaceae",-0.921656312967164
"349","Solanum melongena","Ipomoea purpurea",1,282,"Convolvulaceae",-0.121468736096205
"350","Solanum melongena","Ipomoea purpurea",1,275,"Convolvulaceae",-0.141331548288038
"351","Solanum melongena","Ipomoea purpurea",0,0,"Convolvulaceae",-0.921656312967164
"352","Solanum melongena","Ipomoea purpurea",0,0,"Convolvulaceae",-0.921656312967164
"353","Solanum melongena","Ipomoea purpurea",0,0,"Convolvulaceae",-0.921656312967164
"354","Solanum melongena","Ipomoea purpurea",1,466,"Convolvulaceae",0.400639470089101
"355","Solanum melongena","Ipomoea purpurea",1,469,"Convolvulaceae",0.409152103885601
"356","Solanum melongena","Ipomoea purpurea",0,0,"Convolvulaceae",-0.921656312967164
"357","Solanum melongena","Ipomoea purpurea",1,499,"Convolvulaceae",0.494278441850596
"358","Solanum melongena","Ipomoea purpurea",1,722,"Convolvulaceae",1.1270508873904
"359","Solanum melongena","Capsicum annuum",0,0,"Solanaceae",-0.921656312967164
"360","Solanum melongena","Capsicum annuum",1,243,"Solanaceae",-0.2321329754507
"361","Solanum melongena","Capsicum annuum",0,0,"Solanaceae",-0.921656312967164
"362","Solanum melongena","Capsicum annuum",1,323,"Solanaceae",-0.00512940754404465
"363","Solanum melongena","Capsicum annuum",1,472,"Solanaceae",0.4176647376821
"364","Solanum melongena","Capsicum annuum",1,337,"Solanaceae",0.03459621683962
"365","Solanum melongena","Capsicum annuum",1,12,"Solanaceae",-0.887605777781166
"366","Solanum melongena","Capsicum annuum",1,512,"Solanaceae",0.531166521635428
"367","Solanum melongena","Capsicum annuum",1,355,"Solanaceae",0.0856720196186174
"368","Solanum melongena","Capsicum annuum",1,8,"Solanaceae",-0.898955956176499
"369","Solanum melongena","Petunia integrifolia",1,477,"Solanaceae",0.431852460676266
"370","Solanum melongena","Petunia integrifolia",1,608,"Solanaceae",0.803570803123414
"371","Solanum melongena","Petunia integrifolia",1,196,"Solanaceae",-0.365497571595859
"372","Solanum melongena","Petunia integrifolia",1,210,"Solanaceae",-0.325771947212195
"373","Solanum melongena","Petunia integrifolia",1,347,"Solanaceae",0.0629716628279519
"374","Solanum melongena","Petunia integrifolia",1,540,"Solanaceae",0.610617770402757
"375","Solanum melongena","Petunia integrifolia",1,1104,"Solanaceae",2.21099292414468
"376","Solanum melongena","Petunia integrifolia",0,0,"Solanaceae",-0.921656312967164
"377","Solanum melongena","Petunia integrifolia",1,868,"Solanaceae",1.54133239882004
"378","Solanum melongena","Petunia integrifolia",0,0,"Solanaceae",-0.921656312967164
"379","Solanum melongena","Solanum lycopersicum",0,0,"Solanaceae",-0.921656312967164
"380","Solanum melongena","Solanum lycopersicum",1,255,"Solanaceae",-0.198082440264701
"381","Solanum melongena","Solanum lycopersicum",1,355,"Solanaceae",0.0856720196186174
"382","Solanum melongena","Solanum lycopersicum",1,252,"Solanaceae",-0.206595074061201
"383","Solanum melongena","Solanum lycopersicum",1,350,"Solanaceae",0.0714842966244514
"384","Solanum melongena","Solanum lycopersicum",1,633,"Solanaceae",0.874509418094244
"385","Solanum melongena","Solanum lycopersicum",1,581,"Solanaceae",0.726957098954918
"386","Solanum melongena","Solanum lycopersicum",1,454,"Solanaceae",0.366588934903103
"387","Solanum melongena","Solanum lycopersicum",1,805,"Solanaceae",1.36256708909355
"388","Solanum melongena","Solanum lycopersicum",1,686,"Solanaceae",1.0248992818324
"389","Solanum melongena","Solanum melongena",1,NA,"Solanaceae",NA
"390","Solanum melongena","Solanum melongena",2,NA,"Solanaceae",NA
"391","Solanum melongena","Solanum melongena",3,NA,"Solanaceae",NA
"392","Solanum melongena","Solanum melongena",4,NA,"Solanaceae",NA
"393","Solanum melongena","Solanum melongena",5,NA,"Solanaceae",NA
"394","Solanum melongena","Solanum melongena",6,NA,"Solanaceae",NA
"395","Solanum melongena","Solanum melongena",7,NA,"Solanaceae",NA
"396","Solanum melongena","Solanum melongena",8,NA,"Solanaceae",NA
"397","Solanum melongena","Solanum melongena",9,NA,"Solanaceae",NA
"398","Solanum melongena","Solanum melongena",10,NA,"Solanaceae",NA
"399","Solanum melongena","Cross",1,231,"other",-0.266183510636698
"400","Solanum melongena","Cross",1,676,"other",0.996523835844071
"401","Solanum melongena","Cross",1,741,"other",1.18096423476823
"402","Solanum melongena","Cross",1,524,"other",0.565217056821426
"403","Solanum melongena","Cross",1,370,"other",0.128235188601115
"404","Solanum melongena","Cross",1,409,"other",0.23889942795561
"405","Solanum melongena","Cross",1,629,"other",0.863159239698911
"406","Solanum melongena","Cross",1,805,"other",1.36256708909355
"407","Solanum melongena","Cross",1,803,"other",1.35689199989589
"408","Solanum melongena","Cross",1,920,"other",1.68888471795937
"409","Solanum melongena","Self",1,718,"other",1.11570070899506
"410","Solanum melongena","Self",1,753,"other",1.21501476995423
"411","Solanum melongena","Self",1,1026,"other",1.98966444543569
"412","Solanum melongena","Self",1,914,"other",1.67185945036637
"413","Solanum melongena","Self",1,479,"other",0.437527549873933
"414","Solanum melongena","Self",1,499,"other",0.494278441850596
"415","Solanum melongena","Self",1,570,"other",0.695744108367753
"416","Solanum melongena","Self",1,599,"other",0.778032901733915
"417","Solanum melongena","Self",1,1720,"other",3.95892039702592
"418","Solanum melongena","Self",1,1607,"other",3.63827785735777
"419","Solanum melongena","Control",0,0,"other",-0.921656312967164
"420","Solanum melongena","Control",0,0,"other",-0.921656312967164
"421","Solanum melongena","Control",0,0,"other",-0.921656312967164
"422","Solanum melongena","Control",0,0,"other",-0.921656312967164
"423","Solanum melongena","Control",0,0,"other",-0.921656312967164
"424","Solanum melongena","Control",0,0,"other",-0.921656312967164
"425","Solanum melongena","Control",0,0,"other",-0.921656312967164
"426","Solanum melongena","Control",0,0,"other",-0.921656312967164
"427","Solanum melongena","Control",0,0,"other",-0.921656312967164
"428","Solanum melongena","Control",0,0,"other",-0.921656312967164
"429","Solanum melongena","Flower control",1,844,"other",1.47323132844805
"430","Solanum melongena","Flower control",1,552,"other",0.644668305588755
"431","Solanum melongena","Flower control",1,85,"other",-0.680465022066343
"432","Solanum melongena","Flower control",1,376,"other",0.145260456194114
"433","Solanum melongena","Flower control",0,0,"other",-0.921656312967164
"434","Solanum melongena","Flower control",1,308,"other",-0.0476925765265425
"435","Solanum melongena","Flower control",0,0,"other",-0.921656312967164
"436","Solanum melongena","Flower control",0,0,"other",-0.921656312967164
"437","Solanum melongena","Flower control",0,0,"other",-0.921656312967164
"438","Solanum melongena","Flower control",1,13,"other",-0.884768233182333
"439","Capsicum annuum","Brassica oleracea",1,0,"Brassicaceae",-0.580482834655613
"440","Capsicum annuum","Brassica oleracea",2,53,"Brassicaceae",-0.0539521960593552
"441","Capsicum annuum","Brassica oleracea",3,28,"Brassicaceae",-0.302315704831175
"442","Capsicum annuum","Brassica oleracea",4,39,"Brassicaceae",-0.193035760971574
"443","Capsicum annuum","Brassica oleracea",5,7,"Brassicaceae",-0.510941052199503
"444","Capsicum annuum","Brassica oleracea",6,26,"Brassicaceae",-0.32218478553292
"445","Capsicum annuum","Brassica oleracea",7,15,"Brassicaceae",-0.431464729392521
"446","Capsicum annuum","Brassica oleracea",8,121,"Brassicaceae",0.621596547799994
"447","Capsicum annuum","Brassica oleracea",9,49,"Brassicaceae",-0.0936903574628464
"448","Capsicum annuum","Brassica oleracea",10,0,"Brassicaceae",-0.580482834655613
"449","Capsicum annuum","Brassica rapa",1,0,"Brassicaceae",-0.580482834655613
"450","Capsicum annuum","Brassica rapa",2,58,"Brassicaceae",-0.00427949430499134
"451","Capsicum annuum","Brassica rapa",3,93,"Brassicaceae",0.343429417975556
"452","Capsicum annuum","Brassica rapa",4,13,"Brassicaceae",-0.451333810094266
"453","Capsicum annuum","Brassica rapa",5,0,"Brassicaceae",-0.580482834655613
"454","Capsicum annuum","Brassica rapa",6,0,"Brassicaceae",-0.580482834655613
"455","Capsicum annuum","Brassica rapa",7,19,"Brassicaceae",-0.39172656798903
"456","Capsicum annuum","Brassica rapa",8,25,"Brassicaceae",-0.332119325883793
"457","Capsicum annuum","Brassica rapa",9,27,"Brassicaceae",-0.312250245182048
"458","Capsicum annuum","Brassica rapa",10,0,"Brassicaceae",-0.580482834655613
"459","Capsicum annuum","Eruca vesicaria",1,167,"Brassicaceae",1.07858540394014
"460","Capsicum annuum","Eruca vesicaria",2,29,"Brassicaceae",-0.292381164480302
"461","Capsicum annuum","Eruca vesicaria",3,132,"Brassicaceae",0.730876491659594
"462","Capsicum annuum","Eruca vesicaria",4,201,"Brassicaceae",1.41635977586982
"463","Capsicum annuum","Eruca vesicaria",5,239,"Brassicaceae",1.79387230920298
"464","Capsicum annuum","Eruca vesicaria",6,118,"Brassicaceae",0.591792926747376
"465","Capsicum annuum","Eruca vesicaria",7,0,"Brassicaceae",-0.580482834655613
"466","Capsicum annuum","Eruca vesicaria",8,14,"Brassicaceae",-0.441399269743394
"467","Capsicum annuum","Eruca vesicaria",9,153,"Brassicaceae",0.939501839027923
"468","Capsicum annuum","Eruca vesicaria",10,17,"Brassicaceae",-0.411595648690775
"469","Capsicum annuum","Sinapis alba",1,289,"Brassicaceae",2.29059932674662
"470","Capsicum annuum","Sinapis alba",2,0,"Brassicaceae",-0.580482834655613
"471","Capsicum annuum","Sinapis alba",3,0,"Brassicaceae",-0.580482834655613
"472","Capsicum annuum","Sinapis alba",4,0,"Brassicaceae",-0.580482834655613
"473","Capsicum annuum","Sinapis alba",5,0,"Brassicaceae",-0.580482834655613
"474","Capsicum annuum","Sinapis alba",6,0,"Brassicaceae",-0.580482834655613
"475","Capsicum annuum","Sinapis alba",7,0,"Brassicaceae",-0.580482834655613
"476","Capsicum annuum","Sinapis alba",8,0,"Brassicaceae",-0.580482834655613
"477","Capsicum annuum","Sinapis alba",9,0,"Brassicaceae",-0.580482834655613
"478","Capsicum annuum","Sinapis alba",10,48,"Brassicaceae",-0.103624897813719
"479","Capsicum annuum","Ipomoea aquatica",1,30,"Convolvulaceae",-0.282446624129429
"480","Capsicum annuum","Ipomoea aquatica",2,24,"Convolvulaceae",-0.342053866234666
"481","Capsicum annuum","Ipomoea aquatica",3,9,"Convolvulaceae",-0.491071971497758
"482","Capsicum annuum","Ipomoea aquatica",4,86,"Convolvulaceae",0.273887635519447
"483","Capsicum annuum","Ipomoea aquatica",5,85,"Convolvulaceae",0.263953095168574
"484","Capsicum annuum","Ipomoea aquatica",6,9,"Convolvulaceae",-0.491071971497758
"485","Capsicum annuum","Ipomoea aquatica",7,94,"Convolvulaceae",0.353363958326429
"486","Capsicum annuum","Ipomoea aquatica",8,10,"Convolvulaceae",-0.481137431146885
"487","Capsicum annuum","Ipomoea aquatica",9,4,"Convolvulaceae",-0.540744673252121
"488","Capsicum annuum","Ipomoea aquatica",10,33,"Convolvulaceae",-0.252643003076811
"489","Capsicum annuum","Ipomoea purpurea",1,0,"Convolvulaceae",-0.580482834655613
"490","Capsicum annuum","Ipomoea purpurea",2,0,"Convolvulaceae",-0.580482834655613
"491","Capsicum annuum","Ipomoea purpurea",3,18,"Convolvulaceae",-0.401661108339903
"492","Capsicum annuum","Ipomoea purpurea",4,0,"Convolvulaceae",-0.580482834655613
"493","Capsicum annuum","Ipomoea purpurea",5,0,"Convolvulaceae",-0.580482834655613
"494","Capsicum annuum","Ipomoea purpurea",6,0,"Convolvulaceae",-0.580482834655613
"495","Capsicum annuum","Ipomoea purpurea",7,3,"Convolvulaceae",-0.550679213602994
"496","Capsicum annuum","Ipomoea purpurea",8,0,"Convolvulaceae",-0.580482834655613
"497","Capsicum annuum","Ipomoea purpurea",9,0,"Convolvulaceae",-0.580482834655613
"498","Capsicum annuum","Ipomoea purpurea",10,4,"Convolvulaceae",-0.540744673252121
"499","Capsicum annuum","Capsicum annuum",1,NA,"Solanaceae",NA
"500","Capsicum annuum","Capsicum annuum",2,NA,"Solanaceae",NA
"501","Capsicum annuum","Capsicum annuum",3,NA,"Solanaceae",NA
"502","Capsicum annuum","Capsicum annuum",4,NA,"Solanaceae",NA
"503","Capsicum annuum","Capsicum annuum",5,NA,"Solanaceae",NA
"504","Capsicum annuum","Capsicum annuum",6,NA,"Solanaceae",NA
"505","Capsicum annuum","Capsicum annuum",7,NA,"Solanaceae",NA
"506","Capsicum annuum","Capsicum annuum",8,NA,"Solanaceae",NA
"507","Capsicum annuum","Capsicum annuum",9,NA,"Solanaceae",NA
"508","Capsicum annuum","Capsicum annuum",10,NA,"Solanaceae",NA
"509","Capsicum annuum","Petunia integrifolia",1,0,"Solanaceae",-0.580482834655613
"510","Capsicum annuum","Petunia integrifolia",2,0,"Solanaceae",-0.580482834655613
"511","Capsicum annuum","Petunia integrifolia",3,0,"Solanaceae",-0.580482834655613
"512","Capsicum annuum","Petunia integrifolia",4,0,"Solanaceae",-0.580482834655613
"513","Capsicum annuum","Petunia integrifolia",5,0,"Solanaceae",-0.580482834655613
"514","Capsicum annuum","Petunia integrifolia",6,0,"Solanaceae",-0.580482834655613
"515","Capsicum annuum","Petunia integrifolia",7,0,"Solanaceae",-0.580482834655613
"516","Capsicum annuum","Petunia integrifolia",8,0,"Solanaceae",-0.580482834655613
"517","Capsicum annuum","Petunia integrifolia",9,0,"Solanaceae",-0.580482834655613
"518","Capsicum annuum","Petunia integrifolia",10,0,"Solanaceae",-0.580482834655613
"519","Capsicum annuum","Solanum lycopersicum",1,0,"Solanaceae",-0.580482834655613
"520","Capsicum annuum","Solanum lycopersicum",2,44,"Solanaceae",-0.14336305921721
"521","Capsicum annuum","Solanum lycopersicum",3,55,"Solanaceae",-0.0340831153576097
"522","Capsicum annuum","Solanum lycopersicum",4,101,"Solanaceae",0.422905740782538
"523","Capsicum annuum","Solanum lycopersicum",5,69,"Solanaceae",0.105000449554609
"524","Capsicum annuum","Solanum lycopersicum",6,57,"Solanaceae",-0.0142140346558641
"525","Capsicum annuum","Solanum lycopersicum",7,0,"Solanaceae",-0.580482834655613
"526","Capsicum annuum","Solanum lycopersicum",8,70,"Solanaceae",0.114934989905482
"527","Capsicum annuum","Solanum lycopersicum",9,21,"Solanaceae",-0.371857487287284
"528","Capsicum annuum","Solanum lycopersicum",10,12,"Solanaceae",-0.461268350445139
"529","Capsicum annuum","Solanum melongena",1,33,"Solanaceae",-0.252643003076811
"530","Capsicum annuum","Solanum melongena",2,0,"Solanaceae",-0.580482834655613
"531","Capsicum annuum","Solanum melongena",3,15,"Solanaceae",-0.431464729392521
"532","Capsicum annuum","Solanum melongena",4,0,"Solanaceae",-0.580482834655613
"533","Capsicum annuum","Solanum melongena",5,17,"Solanaceae",-0.411595648690775
"534","Capsicum annuum","Solanum melongena",6,42,"Solanaceae",-0.163232139918956
"535","Capsicum annuum","Solanum melongena",7,0,"Solanaceae",-0.580482834655613
"536","Capsicum annuum","Solanum melongena",8,0,"Solanaceae",-0.580482834655613
"537","Capsicum annuum","Solanum melongena",9,0,"Solanaceae",-0.580482834655613
"538","Capsicum annuum","Solanum melongena",10,0,"Solanaceae",-0.580482834655613
"539","Capsicum annuum","Cross",1,0,"other",-0.580482834655613
"540","Capsicum annuum","Cross",2,361,"other",3.00588623200946
"541","Capsicum annuum","Cross",3,247,"other",1.87334863200996
"542","Capsicum annuum","Cross",4,314,"other",2.53896283551844
"543","Capsicum annuum","Cross",5,321,"other",2.60850461797455
"544","Capsicum annuum","Cross",6,366,"other",3.05555893376383
"545","Capsicum annuum","Cross",7,244,"other",1.84354501095735
"546","Capsicum annuum","Cross",8,388,"other",3.27411882148303
"547","Capsicum annuum","Cross",9,268,"other",2.08197397937829
"548","Capsicum annuum","Cross",10,0,"other",-0.580482834655613
"549","Capsicum annuum","Self",1,176,"other",1.167996267098
"550","Capsicum annuum","Self",2,101,"other",0.422905740782538
"551","Capsicum annuum","Self",3,358,"other",2.97608261095684
"552","Capsicum annuum","Self",4,9,"other",-0.491071971497758
"553","Capsicum annuum","Self",5,0,"other",-0.580482834655613
"554","Capsicum annuum","Self",6,0,"other",-0.580482834655613
"555","Capsicum annuum","Self",7,170,"other",1.10838902499276
"556","Capsicum annuum","Self",8,319,"other",2.5886355372728
"557","Capsicum annuum","Self",9,182,"other",1.22760350920323
"558","Capsicum annuum","Self",10,281,"other",2.21112300393964
"559","Capsicum annuum","Control",1,0,"other",-0.580482834655613
"560","Capsicum annuum","Control",2,0,"other",-0.580482834655613
"561","Capsicum annuum","Control",3,0,"other",-0.580482834655613
"562","Capsicum annuum","Control",4,0,"other",-0.580482834655613
"563","Capsicum annuum","Control",5,0,"other",-0.580482834655613
"564","Capsicum annuum","Control",6,0,"other",-0.580482834655613
"565","Capsicum annuum","Control",7,0,"other",-0.580482834655613
"566","Capsicum annuum","Control",8,0,"other",-0.580482834655613
"567","Capsicum annuum","Control",9,0,"other",-0.580482834655613
"568","Capsicum annuum","Control",10,0,"other",-0.580482834655613
"569","Capsicum annuum","Flower control",1,0,"other",-0.580482834655613
"570","Capsicum annuum","Flower control",2,0,"other",-0.580482834655613
"571","Capsicum annuum","Flower control",3,341,"other",2.80719542499201
"572","Capsicum annuum","Flower control",4,0,"other",-0.580482834655613
"573","Capsicum annuum","Flower control",5,0,"other",-0.580482834655613
"574","Capsicum annuum","Flower control",6,225,"other",1.65478874429076
"575","Capsicum annuum","Flower control",7,0,"other",-0.580482834655613
"576","Capsicum annuum","Flower control",8,0,"other",-0.580482834655613
"577","Capsicum annuum","Flower control",9,0,"other",-0.580482834655613
"578","Capsicum annuum","Flower control",10,0,"other",-0.580482834655613
"579","Brassica oleracea","Brassica oleracea",1,NA,"Brassicaceae",NA
"580","Brassica oleracea","Brassica oleracea",2,NA,"Brassicaceae",NA
"581","Brassica oleracea","Brassica oleracea",3,NA,"Brassicaceae",NA
"582","Brassica oleracea","Brassica oleracea",4,NA,"Brassicaceae",NA
"583","Brassica oleracea","Brassica oleracea",5,NA,"Brassicaceae",NA
"584","Brassica oleracea","Brassica oleracea",6,NA,"Brassicaceae",NA
"585","Brassica oleracea","Brassica oleracea",7,NA,"Brassicaceae",NA
"586","Brassica oleracea","Brassica oleracea",8,NA,"Brassicaceae",NA
"587","Brassica oleracea","Brassica oleracea",9,NA,"Brassicaceae",NA
"588","Brassica oleracea","Brassica oleracea",10,NA,"Brassicaceae",NA
"589","Brassica oleracea","Brassica rapa",1,0,"Brassicaceae",-0.39976991441255
"590","Brassica oleracea","Brassica rapa",2,0,"Brassicaceae",-0.39976991441255
"591","Brassica oleracea","Brassica rapa",3,0,"Brassicaceae",-0.39976991441255
"592","Brassica oleracea","Brassica rapa",4,0,"Brassicaceae",-0.39976991441255
"593","Brassica oleracea","Brassica rapa",5,0,"Brassicaceae",-0.39976991441255
"594","Brassica oleracea","Brassica rapa",6,13,"Brassicaceae",3.1843741458379
"595","Brassica oleracea","Brassica rapa",7,1,"Brassicaceae",-0.124066525162515
"596","Brassica oleracea","Brassica rapa",8,18,"Brassicaceae",4.56289109208807
"597","Brassica oleracea","Brassica rapa",9,0,"Brassicaceae",-0.39976991441255
"598","Brassica oleracea","Brassica rapa",10,0,"Brassicaceae",-0.39976991441255
"599","Brassica oleracea","Eruca vesicaria",1,0,"Brassicaceae",-0.39976991441255
"600","Brassica oleracea","Eruca vesicaria",2,0,"Brassicaceae",-0.39976991441255
"601","Brassica oleracea","Eruca vesicaria",3,0,"Brassicaceae",-0.39976991441255
"602","Brassica oleracea","Eruca vesicaria",4,1,"Brassicaceae",-0.124066525162515
"603","Brassica oleracea","Eruca vesicaria",5,0,"Brassicaceae",-0.39976991441255
"604","Brassica oleracea","Eruca vesicaria",6,0,"Brassicaceae",-0.39976991441255
"605","Brassica oleracea","Eruca vesicaria",7,0,"Brassicaceae",-0.39976991441255
"606","Brassica oleracea","Eruca vesicaria",8,0,"Brassicaceae",-0.39976991441255
"607","Brassica oleracea","Eruca vesicaria",9,0,"Brassicaceae",-0.39976991441255
"608","Brassica oleracea","Eruca vesicaria",10,0,"Brassicaceae",-0.39976991441255
"609","Brassica oleracea","Sinapis alba",1,0,"Brassicaceae",-0.39976991441255
"610","Brassica oleracea","Sinapis alba",2,0,"Brassicaceae",-0.39976991441255
"611","Brassica oleracea","Sinapis alba",3,1,"Brassicaceae",-0.124066525162515
"612","Brassica oleracea","Sinapis alba",4,0,"Brassicaceae",-0.39976991441255
"613","Brassica oleracea","Sinapis alba",5,2,"Brassicaceae",0.151636864087519
"614","Brassica oleracea","Sinapis alba",6,2,"Brassicaceae",0.151636864087519
"615","Brassica oleracea","Sinapis alba",7,1,"Brassicaceae",-0.124066525162515
"616","Brassica oleracea","Sinapis alba",8,1,"Brassicaceae",-0.124066525162515
"617","Brassica oleracea","Sinapis alba",9,0,"Brassicaceae",-0.39976991441255
"618","Brassica oleracea","Sinapis alba",10,0,"Brassicaceae",-0.39976991441255
"619","Brassica oleracea","Ipomoea aquatica",1,0,"Convolvulaceae",-0.39976991441255
"620","Brassica oleracea","Ipomoea aquatica",2,0,"Convolvulaceae",-0.39976991441255
"621","Brassica oleracea","Ipomoea aquatica",3,0,"Convolvulaceae",-0.39976991441255
"622","Brassica oleracea","Ipomoea aquatica",4,0,"Convolvulaceae",-0.39976991441255
"623","Brassica oleracea","Ipomoea aquatica",5,0,"Convolvulaceae",-0.39976991441255
"624","Brassica oleracea","Ipomoea aquatica",6,0,"Convolvulaceae",-0.39976991441255
"625","Brassica oleracea","Ipomoea aquatica",7,0,"Convolvulaceae",-0.39976991441255
"626","Brassica oleracea","Ipomoea aquatica",8,0,"Convolvulaceae",-0.39976991441255
"627","Brassica oleracea","Ipomoea aquatica",9,0,"Convolvulaceae",-0.39976991441255
"628","Brassica oleracea","Ipomoea aquatica",10,0,"Convolvulaceae",-0.39976991441255
"629","Brassica oleracea","Ipomoea aquatica",1,0,"Convolvulaceae",-0.39976991441255
"630","Brassica oleracea","Ipomoea aquatica",2,0,"Convolvulaceae",-0.39976991441255
"631","Brassica oleracea","Ipomoea aquatica",3,0,"Convolvulaceae",-0.39976991441255
"632","Brassica oleracea","Ipomoea aquatica",4,0,"Convolvulaceae",-0.39976991441255
"633","Brassica oleracea","Ipomoea aquatica",5,4,"Convolvulaceae",0.703043642587587
"634","Brassica oleracea","Ipomoea aquatica",6,0,"Convolvulaceae",-0.39976991441255
"635","Brassica oleracea","Ipomoea aquatica",7,0,"Convolvulaceae",-0.39976991441255
"636","Brassica oleracea","Ipomoea aquatica",8,0,"Convolvulaceae",-0.39976991441255
"637","Brassica oleracea","Ipomoea aquatica",9,0,"Convolvulaceae",-0.39976991441255
"638","Brassica oleracea","Ipomoea aquatica",10,0,"Convolvulaceae",-0.39976991441255
"639","Brassica oleracea","Ipomoea purpurea",1,0,"Convolvulaceae",-0.39976991441255
"640","Brassica oleracea","Ipomoea purpurea",2,0,"Convolvulaceae",-0.39976991441255
"641","Brassica oleracea","Ipomoea purpurea",3,0,"Convolvulaceae",-0.39976991441255
"642","Brassica oleracea","Ipomoea purpurea",4,0,"Convolvulaceae",-0.39976991441255
"643","Brassica oleracea","Ipomoea purpurea",5,0,"Convolvulaceae",-0.39976991441255
"644","Brassica oleracea","Ipomoea purpurea",6,0,"Convolvulaceae",-0.39976991441255
"645","Brassica oleracea","Ipomoea purpurea",7,0,"Convolvulaceae",-0.39976991441255
"646","Brassica oleracea","Ipomoea purpurea",8,0,"Convolvulaceae",-0.39976991441255
"647","Brassica oleracea","Ipomoea purpurea",9,0,"Convolvulaceae",-0.39976991441255
"648","Brassica oleracea","Ipomoea purpurea",10,0,"Convolvulaceae",-0.39976991441255
"649","Brassica oleracea","Capsicum annuum",1,7,"Solanaceae",1.53015381033769
"650","Brassica oleracea","Capsicum annuum",2,12,"Solanaceae",2.90867075658786
"651","Brassica oleracea","Capsicum annuum",3,8,"Solanaceae",1.80585719958772
"652","Brassica oleracea","Capsicum annuum",4,6,"Solanaceae",1.25445042108766
"653","Brassica oleracea","Capsicum annuum",5,1,"Solanaceae",-0.124066525162515
"654","Brassica oleracea","Capsicum annuum",6,0,"Solanaceae",-0.39976991441255
"655","Brassica oleracea","Capsicum annuum",7,0,"Solanaceae",-0.39976991441255
"656","Brassica oleracea","Capsicum annuum",8,0,"Solanaceae",-0.39976991441255
"657","Brassica oleracea","Capsicum annuum",9,0,"Solanaceae",-0.39976991441255
"658","Brassica oleracea","Capsicum annuum",10,5,"Solanaceae",0.978747031837622
"659","Brassica oleracea","Petunia integrifolia",1,5,"Solanaceae",0.978747031837622
"660","Brassica oleracea","Petunia integrifolia",2,5,"Solanaceae",0.978747031837622
"661","Brassica oleracea","Petunia integrifolia",3,0,"Solanaceae",-0.39976991441255
"662","Brassica oleracea","Petunia integrifolia",4,0,"Solanaceae",-0.39976991441255
"663","Brassica oleracea","Petunia integrifolia",5,0,"Solanaceae",-0.39976991441255
"664","Brassica oleracea","Petunia integrifolia",6,0,"Solanaceae",-0.39976991441255
"665","Brassica oleracea","Petunia integrifolia",7,0,"Solanaceae",-0.39976991441255
"666","Brassica oleracea","Petunia integrifolia",8,0,"Solanaceae",-0.39976991441255
"667","Brassica oleracea","Petunia integrifolia",9,0,"Solanaceae",-0.39976991441255
"668","Brassica oleracea","Petunia integrifolia",10,0,"Solanaceae",-0.39976991441255
"669","Brassica oleracea","Solanum lycopersicum",1,0,"Solanaceae",-0.39976991441255
"670","Brassica oleracea","Solanum lycopersicum",2,2,"Solanaceae",0.151636864087519
"671","Brassica oleracea","Solanum lycopersicum",3,0,"Solanaceae",-0.39976991441255
"672","Brassica oleracea","Solanum lycopersicum",4,0,"Solanaceae",-0.39976991441255
"673","Brassica oleracea","Solanum lycopersicum",5,4,"Solanaceae",0.703043642587587
"674","Brassica oleracea","Solanum lycopersicum",6,0,"Solanaceae",-0.39976991441255
"675","Brassica oleracea","Solanum lycopersicum",7,1,"Solanaceae",-0.124066525162515
"676","Brassica oleracea","Solanum lycopersicum",8,0,"Solanaceae",-0.39976991441255
"677","Brassica oleracea","Solanum lycopersicum",9,2,"Solanaceae",0.151636864087519
"678","Brassica oleracea","Solanum lycopersicum",10,1,"Solanaceae",-0.124066525162515
"679","Brassica oleracea","Solanum melongena",1,3,"Solanaceae",0.427340253337553
"680","Brassica oleracea","Solanum melongena",2,0,"Solanaceae",-0.39976991441255
"681","Brassica oleracea","Solanum melongena",3,2,"Solanaceae",0.151636864087519
"682","Brassica oleracea","Solanum melongena",4,0,"Solanaceae",-0.39976991441255
"683","Brassica oleracea","Solanum melongena",5,1,"Solanaceae",-0.124066525162515
"684","Brassica oleracea","Solanum melongena",6,0,"Solanaceae",-0.39976991441255
"685","Brassica oleracea","Solanum melongena",7,0,"Solanaceae",-0.39976991441255
"686","Brassica oleracea","Solanum melongena",8,0,"Solanaceae",-0.39976991441255
"687","Brassica oleracea","Solanum melongena",9,1,"Solanaceae",-0.124066525162515
"688","Brassica oleracea","Solanum melongena",10,0,"Solanaceae",-0.39976991441255
"689","Brassica oleracea","Cross",1,6,"other",1.25445042108766
"690","Brassica oleracea","Cross",2,14,"other",3.46007753508793
"691","Brassica oleracea","Cross",3,19,"other",4.8385944813381
"692","Brassica oleracea","Cross",4,8,"other",1.80585719958772
"693","Brassica oleracea","Cross",5,12,"other",2.90867075658786
"694","Brassica oleracea","Cross",6,0,"other",-0.39976991441255
"695","Brassica oleracea","Cross",7,13,"other",3.1843741458379
