Species;Treatment;Treatment number;Seed production
SIAL;CAAN 50%;5;5
SIAL;CAAN 50%;6;0
SIAL;CAAN 50%;7;6
SIAL;CAAN 50%;8;5
SIAL;CAAN 50%;9;4
SIAL;CAAN 50%;10;5
SIAL;CAAN 100%;1;0
SIAL;CAAN 100%;2;1
SIAL;CAAN 100%;3;6
SIAL;CAAN 100%;4;0
SIAL;CAAN 100%;5;0
SIAL;CAAN 100%;6;0
SIAL;CAAN 100%;7;0
SIAL;CAAN 100%;8;0
SIAL;CAAN 100%;9;0
SIAL;CAAN 100%;10;0
SIAL;IPPU 50%;1;0
SIAL;IPPU 50%;2;0
SIAL;IPPU 50%;3;0
SIAL;IPPU 50%;4;0
SIAL;IPPU 50%;5;5
SIAL;IPPU 50%;6;0
SIAL;IPPU 50%;7;0
SIAL;IPPU 50%;8;0
SIAL;IPPU 50%;9;0
SIAL;IPPU 50%;10;0
SIAL;IPPU 100%;1;0
SIAL;IPPU 100%;2;0
SIAL;IPPU 100%;3;0
SIAL;IPPU 100%;4;0
SIAL;IPPU 100%;5;0
SIAL;IPPU 100%;6;0
SIAL;IPPU 100%;7;0
SIAL;IPPU 100%;8;0
SIAL;IPPU 100%;9;0
SIAL;IPPU 100%;10;0
SIAL;SOME 50%;1;0
SIAL;SOME 50%;2;7
SIAL;SOME 50%;3;0
SIAL;SOME 50%;4;0
SIAL;SOME 50%;5;7
SIAL;SOME 50%;6;5
SIAL;SOME 50%;7;4
SIAL;SOME 50%;8;5
SIAL;SOME 50%;9;4
SIAL;SOME 50%;10;0
SIAL;SOME 100%;1;0
SIAL;SOME 100%;2;0
SIAL;SOME 100%;3;0
SIAL;SOME 100%;4;0
SIAL;SOME 100%;5;0
SIAL;SOME 100%;6;0
SIAL;SOME 100%;7;0
SIAL;SOME 100%;8;0
SIAL;SOME 100%;9;0
SIAL;SOME 100%;10;0
SIAL;BROL 50%;1;0
SIAL;BROL 50%;2;2
SIAL;BROL 50%;3;0
SIAL;BROL 50%;4;0
SIAL;BROL 50%;5;0
SIAL;BROL 50%;6;0
SIAL;BROL 50%;7;0
SIAL;BROL 50%;8;0
SIAL;BROL 50%;9;2
SIAL;BROL 50%;10;6
SIAL;BROL 100%;1;7
SIAL;BROL 100%;2;5
SIAL;BROL 100%;3;7
SIAL;BROL 100%;4;0
SIAL;BROL 100%;5;0
SIAL;BROL 100%;6;0
SIAL;BROL 100%;7;0
SIAL;BROL 100%;8;0
SIAL;BROL 100%;9;0
SIAL;BROL 100%;10;0
SIAL;Flower Control;1;0
SIAL;Flower Control;2;0
SIAL;Flower Control;3;3
SIAL;Flower Control;4;0
SIAL;Flower Control;5;0
SIAL;Flower Control;6;0
SIAL;Flower Control;7;0
SIAL;Flower Control;8;0
SIAL;Flower Control;9;0
SIAL;Flower Control;10;0
SIAL;BRRA 50%;1;0
SIAL;BRRA 50%;2;0
SIAL;BRRA 50%;3;0
SIAL;BRRA 50%;4;0
SIAL;BRRA 50%;5;0
SIAL;BRRA 50%;6;0
SIAL;BRRA 50%;7;0
SIAL;BRRA 50%;8;0
SIAL;BRRA 50%;9;0
SIAL;BRRA 50%;10;0
SIAL;BRRA 100%;1;0
SIAL;BRRA 100%;2;0
SIAL;BRRA 100%;3;0
SIAL;BRRA 100%;4;0
SIAL;BRRA 100%;5;0
SIAL;BRRA 100%;6;0
SIAL;BRRA 100%;7;0
SIAL;BRRA 100%;8;0
SIAL;BRRA 100%;9;0
SIAL;BRRA 100%;10;0
SIAL;COSA 50%;1;0
SIAL;COSA 50%;2;0
SIAL;COSA 50%;3;0
SIAL;COSA 50%;4;0
SIAL;COSA 50%;5;0
SIAL;COSA 50%;6;0
SIAL;COSA 50%;7;0
SIAL;COSA 50%;8;0
SIAL;COSA 50%;9;0
SIAL;COSA 50%;10;0
SIAL;COSA 100%;1;0
SIAL;COSA 100%;2;0
SIAL;COSA 100%;3;0
SIAL;COSA 100%;4;0
SIAL;COSA 100%;5;0
SIAL;COSA 100%;6;0
SIAL;COSA 100%;7;0
SIAL;COSA 100%;8;0
SIAL;COSA 100%;9;0
SIAL;COSA 100%;10;0
SIAL;ERSA 50%;1;0
SIAL;ERSA 50%;2;0
SIAL;ERSA 50%;3;0
SIAL;ERSA 50%;4;0
SIAL;ERSA 50%;5;0
SIAL;ERSA 50%;6;0
SIAL;ERSA 50%;7;6
SIAL;ERSA 50%;8;4
SIAL;ERSA 50%;9;0
SIAL;ERSA 50%;10;0
SIAL;ERSA 100%;1;0
SIAL;ERSA 100%;2;0
SIAL;ERSA 100%;3;0
SIAL;ERSA 100%;4;0
SIAL;ERSA 100%;5;0
SIAL;ERSA 100%;6;0
SIAL;ERSA 100%;7;0
SIAL;ERSA 100%;8;0
SIAL;ERSA 100%;9;0
SIAL;ERSA 100%;10;0
SIAL;IPAQ 50%;1;0
SIAL;IPAQ 50%;2;0
SIAL;IPAQ 50%;3;0
SIAL;IPAQ 50%;4;0
SIAL;IPAQ 50%;5;5
SIAL;IPAQ 50%;6;0
SIAL;IPAQ 50%;7;0
SIAL;IPAQ 50%;8;0
SIAL;IPAQ 50%;9;0
SIAL;IPAQ 50%;10;0
