"","Species","Treatment","Treatment_number","Seed_set","Scale_seed"
"510","SOME","CROSS",5,370,0.593079163511143
"62","SOME","CROSS",6,409,0.719257959099727
"710","SOME","CROSS",7,629,1.43103578036866
"82","SOME","CROSS",8,805,2.00045803738381
"910","SOME","CROSS",9,803,1.99398732991773
"102","SOME","CROSS",10,920,2.37252371668349
"1110","SOME","SELF",1,718,1.71898226260928
"122","SOME","SELF",2,753,1.8322196432657
"1310","SOME","SELF",3,1026,2.71547121238579
"142","SOME","SELF",4,914,2.35311159428524
"1510","SOME","SELF",5,479,0.945732720412571
"1610","SOME","SELF",6,499,1.01043979507338
"171","SOME","SELF",7,570,1.24014991011927
"181","SOME","SELF",8,599,1.33397516837745
"1910","SOME","SELF",9,1720,4.96080670311599
"201","SOME","SELF",10,1607,4.59521173128239
"2110","SOME","CONTROL",1,0,-0.604001717713888
"222","SOME","CONTROL",2,0,-0.604001717713888
"231","SOME","CONTROL",3,0,-0.604001717713888
"242","SOME","CONTROL",4,0,-0.604001717713888
"251","SOME","CONTROL",5,0,-0.604001717713888
"261","SOME","CONTROL",6,0,-0.604001717713888
"271","SOME","CONTROL",7,0,-0.604001717713888
"281","SOME","CONTROL",8,0,-0.604001717713888
"291","SOME","CONTROL",9,0,-0.604001717713888
"301","SOME","CONTROL",10,0,-0.604001717713888
"311","SOME","FLOWER CONTROL",1,844,2.1266368329724
"321","SOME","FLOWER CONTROL",2,552,1.18191354292454
"331","SOME","FLOWER CONTROL",3,85,-0.328996650405435
"341","SOME","FLOWER CONTROL",4,376,0.612491285909387
"351","SOME","FLOWER CONTROL",5,0,-0.604001717713888
"361","SOME","FLOWER CONTROL",6,308,0.392487232062624
"371","SOME","FLOWER CONTROL",7,0,-0.604001717713888
"381","SOME","FLOWER CONTROL",8,0,-0.604001717713888
"391","SOME","FLOWER CONTROL",9,0,-0.604001717713888
"401","SOME","FLOWER CONTROL",10,13,-0.56194211918436
"511","SOME","BROL 50%",1,363,0.570431687379859
"521","SOME","BROL 50%",2,250,0.204836715546268
"531","SOME","BROL 50%",3,459,0.881025645751759
"541","SOME","BROL 50%",4,404,0.703081190434524
"551","SOME","BROL 50%",5,132,-0.176935024952526
"561","SOME","BROL 50%",6,55,-0.426057262396654
"571","SOME","BROL 50%",7,451,0.855142815887434
"581","SOME","BROL 50%",8,319,0.428076123126071
"591","SOME","BROL 50%",9,439,0.816318571090946
"601","SOME","BROL 50%",10,554,1.18838425039062
"71","SOME","IPPU 50%",1,282,0.308368035003568
"721","SOME","IPPU 50%",2,275,0.285720558872284
"731","SOME","IPPU 50%",3,0,-0.604001717713888
"741","SOME","IPPU 50%",4,0,-0.604001717713888
"751","SOME","IPPU 50%",5,0,-0.604001717713888
"761","SOME","IPPU 50%",6,466,0.903673121883043
"771","SOME","IPPU 50%",7,469,0.913379183082165
"781","SOME","IPPU 50%",8,0,-0.604001717713888
"791","SOME","IPPU 50%",9,499,1.01043979507338
"801","SOME","IPPU 50%",10,722,1.73192367754144
"91","SOME","CAAN 50%",1,0,-0.604001717713888
"921","SOME","CAAN 50%",2,243,0.182189239414984
"931","SOME","CAAN 50%",3,0,-0.604001717713888
"941","SOME","CAAN 50%",4,323,0.441017538058234
"951","SOME","CAAN 50%",5,472,0.923085244281287
"961","SOME","CAAN 50%",6,337,0.486312490320802
"971","SOME","CAAN 50%",7,12,-0.565177472917401
"981","SOME","CAAN 50%",8,512,1.05249939360291
"991","SOME","CAAN 50%",9,355,0.544548857515534
"1001","SOME","CAAN 50%",10,8,-0.578118887849563
"111","SOME","PEIN 50%",1,477,0.93926201294649
"1121","SOME","PEIN 50%",2,608,1.36309335197481
"1131","SOME","PEIN 50%",3,196,0.0301276139620743
"1141","SOME","PEIN 50%",4,210,0.0754225662246431
"1151","SOME","PEIN 50%",5,347,0.518666027651209
"1161","SOME","PEIN 50%",6,540,1.14308929812805
"1171","SOME","PEIN 50%",7,1104,2.96782880356296
"1181","SOME","PEIN 50%",8,0,-0.604001717713888
"1191","SOME","PEIN 50%",9,868,2.20428532256537
"1201","SOME","PEIN 50%",10,0,-0.604001717713888
"131","SOME","SIAL 50%",1,227,0.130423579686334
"1321","SOME","SIAL 50%",2,43,-0.464881507193141
"1331","SOME","SIAL 50%",3,38,-0.481058275858344
"1341","SOME","SIAL 50%",4,28,-0.513411813188751
"1351","SOME","SIAL 50%",5,30,-0.506941105722669
"1361","SOME","SIAL 50%",6,459,0.881025645751759
"1371","SOME","SIAL 50%",7,1048,2.78664899451269
"1381","SOME","SIAL 50%",8,565,1.22397314145406
"1391","SOME","SIAL 50%",9,655,1.51515497742772
"1401","SOME","SIAL 50%",10,860,2.17840249270105
"151","SOME","SOLY 50%",1,0,-0.604001717713888
"1521","SOME","SOLY 50%",2,255,0.221013484211471
"1531","SOME","SOLY 50%",3,355,0.544548857515534
"1541","SOME","SOLY 50%",4,252,0.211307423012349
"1551","SOME","SOLY 50%",5,350,0.52837208885033
"1561","SOME","SOLY 50%",6,633,1.44397719530083
"1571","SOME","SOLY 50%",7,581,1.27573880118271
"1581","SOME","SOLY 50%",8,454,0.864848877086555
"1591","SOME","SOLY 50%",9,805,2.00045803738381
"1601","SOME","SOLY 50%",10,686,1.61545094315198
"1611","SOME","BRRA 50%",1,0,-0.604001717713888
"162","SOME","BRRA 50%",2,200,0.0430690288942368
"163","SOME","BRRA 50%",3,169,-0.0572269368300225
"164","SOME","BRRA 50%",4,0,-0.604001717713888
"165","SOME","BRRA 50%",5,0,-0.604001717713888
"166","SOME","BRRA 50%",6,184,-0.00869663083441316
"167","SOME","BRRA 50%",7,0,-0.604001717713888
"168","SOME","BRRA 50%",8,83,-0.335467357871516
"169","SOME","BRRA 50%",9,0,-0.604001717713888
"170","SOME","BRRA 50%",10,0,-0.604001717713888
"1911","SOME","ERSA 50%",1,583,1.2822095086488
"192","SOME","ERSA 50%",2,0,-0.604001717713888
"193","SOME","ERSA 50%",3,0,-0.604001717713888
"194","SOME","ERSA 50%",4,0,-0.604001717713888
"195","SOME","ERSA 50%",5,0,-0.604001717713888
"196","SOME","ERSA 50%",6,787,1.94222167018908
"197","SOME","ERSA 50%",7,385,0.641609469506752
"198","SOME","ERSA 50%",8,0,-0.604001717713888
"199","SOME","ERSA 50%",9,520,1.07838222346724
"200","SOME","ERSA 50%",10,1068,2.8513560691735
"211","SOME ","IPAQ 50%",1,0,-0.604001717713888
"2121","SOME ","IPAQ 50%",2,0,-0.604001717713888
"2131","SOME ","IPAQ 50%",3,0,-0.604001717713888
"2141","SOME ","IPAQ 50%",4,0,-0.604001717713888
"2151","SOME ","IPAQ 50%",5,0,-0.604001717713888
"2161","SOME ","IPAQ 50%",6,0,-0.604001717713888
"2171","SOME ","IPAQ 50%",7,0,-0.604001717713888
"2181","SOME ","IPAQ 50%",8,0,-0.604001717713888
"2191","SOME ","IPAQ 50%",9,0,-0.604001717713888
"2201","SOME ","IPAQ 50%",10,0,-0.604001717713888
"123","PEIN","FLOWER CONTROL",1,0,-0.509157927049917
"243","PEIN","FLOWER CONTROL",2,0,-0.509157927049917
"312","PEIN","FLOWER CONTROL",3,0,-0.509157927049917
"411","PEIN","FLOWER CONTROL",4,0,-0.509157927049917
"512","PEIN","FLOWER CONTROL",5,0,-0.509157927049917
"610","PEIN","FLOWER CONTROL",6,0,-0.509157927049917
"711","PEIN","FLOWER CONTROL",7,0,-0.509157927049917
"83","PEIN","FLOWER CONTROL",8,0,-0.509157927049917
"911","PEIN","FLOWER CONTROL",9,0,-0.509157927049917
"103","PEIN","FLOWER CONTROL",10,0,-0.509157927049917
"1111","PEIN","CONTROL",1,0,-0.509157927049917
"124","PEIN","CONTROL",2,0,-0.509157927049917
"1311","PEIN","CONTROL",3,0,-0.509157927049917
"143","PEIN","CONTROL",4,0,-0.509157927049917
"1511","PEIN","CONTROL",5,0,-0.509157927049917
"1612","PEIN","CONTROL",6,0,-0.509157927049917
"1710","PEIN","CONTROL",7,0,-0.509157927049917
"1810","PEIN","CONTROL",8,0,-0.509157927049917
"1912","PEIN","CONTROL",9,0,-0.509157927049917
"2010","PEIN","CONTROL",10,0,-0.509157927049917
"2111","PEIN","CAAN 50%",1,298,2.78328765625178
"2210","PEIN","CAAN 50%",2,234,2.07618524909973
"2310","PEIN","CAAN 50%",3,341,3.25837208605705
"244","PEIN","CAAN 50%",4,274,2.51812425356976
"252","PEIN","CAAN 50%",5,244,2.18667000021724
"262","PEIN","CAAN 50%",6,196,1.65634319485321
"272","PEIN","CAAN 50%",7,182,1.5016645432887
"282","PEIN","CAAN 50%",8,199,1.68948862018846
"292","PEIN","CAAN 50%",9,196,1.65634319485321
"302","PEIN","CAAN 50%",10,134,0.97133773792467
"412","PEIN","CROSS",1,189,1.57900386907096
"421","PEIN","CROSS",2,26,-0.2218975741444
"431","PEIN","CROSS",3,169,1.35803436683594
"441","PEIN","CROSS",4,283,2.61756052957552
"451","PEIN","CROSS",5,294,2.73909375580477
"461","PEIN","CROSS",6,277,2.55126967890501
"471","PEIN","CROSS",7,154,1.19230724015968
"481","PEIN","CROSS",8,325,3.08159648426904
"491","PEIN","CROSS",9,33,-0.144558248362146
"501","PEIN","CROSS",10,310,2.91586935759278
"513","PEIN","CROSS",11,278,2.56231815401676
"522","PEIN","CROSS",12,0,-0.509157927049917
"532","PEIN","CROSS",13,0,-0.509157927049917
"542","PEIN","CROSS",14,362,3.49039006340382
"552","PEIN","CROSS",15,321,3.03740258382204
"562","PEIN","CROSS",16,231,2.04303982376448
"572","PEIN","CROSS",17,0,-0.509157927049917
"582","PEIN","CROSS",18,318,3.00425715848679
"592","PEIN","CROSS",19,257,2.33030017667
"602","PEIN","CROSS",20,299,2.79433613136353
"611","PEIN","SELF",1,107,0.673028909907402
"621","PEIN","SELF",2,144,1.08182248904218
"63","PEIN","SELF",3,10,-0.39867317593241
"64","PEIN","SELF",4,0,-0.509157927049917
"65","PEIN","SELF",5,54,0.0874597289846181
"66","PEIN","SELF",6,13,-0.365527750597158
"67","PEIN","SELF",7,32,-0.155606723473896
"68","PEIN","SELF",8,74,0.308429231219631
"69","PEIN","SELF",9,13,-0.365527750597158
"70","PEIN","SELF",10,98,0.573592633901647
"712","PEIN","SIAL 50%",1,21,-0.277139949703153
"722","PEIN","SIAL 50%",2,0,-0.509157927049917
"732","PEIN","SIAL 50%",3,61,0.164799054766873
"742","PEIN","SIAL 50%",4,17,-0.321333850150156
"752","PEIN","SIAL 50%",5,20,-0.288188424814904
"762","PEIN","SIAL 50%",6,0,-0.509157927049917
"772","PEIN","SIAL 50%",7,0,-0.509157927049917
"782","PEIN","SIAL 50%",8,0,-0.509157927049917
"792","PEIN","SIAL 50%",9,23,-0.255042999479652
"802","PEIN","SIAL 50%",10,0,-0.509157927049917
"912","PEIN","SOLY 50%",1,0,-0.509157927049917
"922","PEIN","SOLY 50%",2,0,-0.509157927049917
"932","PEIN","SOLY 50%",3,0,-0.509157927049917
"942","PEIN","SOLY 50%",4,94,0.529398733454644
"952","PEIN","SOLY 50%",5,12,-0.376576225708909
"962","PEIN","SOLY 50%",6,0,-0.509157927049917
"972","PEIN","SOLY 50%",7,81,0.385768557001886
"982","PEIN","SOLY 50%",8,0,-0.509157927049917
"992","PEIN","SOLY 50%",9,241,2.15352457488199
"1002","PEIN","SOLY 50%",10,184,1.5237614935122
"1112","PEIN","IPPU 50 %",1,0,-0.509157927049917
"1122","PEIN","IPPU 50 %",2,0,-0.509157927049917
"1132","PEIN","IPPU 50 %",3,0,-0.509157927049917
"1142","PEIN","IPPU 50 %",4,0,-0.509157927049917
"1152","PEIN","IPPU 50 %",5,0,-0.509157927049917
"1162","PEIN","IPPU 50 %",6,0,-0.509157927049917
"1172","PEIN","IPPU 50 %",7,0,-0.509157927049917
"1182","PEIN","IPPU 50 %",8,0,-0.509157927049917
"1192","PEIN","IPPU 50 %",9,61,0.164799054766873
"1202","PEIN","IPPU 50 %",10,0,-0.509157927049917
"1312","PEIN","BROL 50%",1,73,0.29738075610788
"1322","PEIN","BROL 50%",2,0,-0.509157927049917
"1332","PEIN","BROL 50%",3,0,-0.509157927049917
"1342","PEIN","BROL 50%",4,0,-0.509157927049917
"1352","PEIN","BROL 50%",5,86,0.441010932560639
"1362","PEIN","BROL 50%",6,330,3.1368388598278
"1372","PEIN","BROL 50%",7,109,0.695125860130904
"1382","PEIN","BROL 50%",8,81,0.385768557001886
"1392","PEIN","BROL 50%",9,62,0.175847529878623
"1402","PEIN","BROL 50%",10,0,-0.509157927049917
"1512","PEIN","SOME 50%",1,24,-0.243994524367901
"1522","PEIN","SOME 50%",2,0,-0.509157927049917
"1532","PEIN","SOME 50%",3,11,-0.38762470082066
"1542","PEIN","SOME 50%",4,0,-0.509157927049917
"1552","PEIN","SOME 50%",5,0,-0.509157927049917
"1562","PEIN","SOME 50%",6,0,-0.509157927049917
"1572","PEIN","SOME 50%",7,259,2.3523971268935
"1582","PEIN","SOME 50%",8,17,-0.321333850150156
"1592","PEIN","SOME 50%",9,250,2.25296085088775
"1602","PEIN","SOME 50%",10,0,-0.509157927049917
"1711","PEIN","BRRA 50%",1,85,0.429962457448888
"172","PEIN","BRRA 50%",2,163,1.29174351616544
"173","PEIN","BRRA 50%",3,0,-0.509157927049917
"174","PEIN","BRRA 50%",4,79,0.363671606778384
"175","PEIN","BRRA 50%",5,85,0.429962457448888
"176","PEIN","BRRA 50%",6,217,1.88836117219997
"177","PEIN","BRRA 50%",7,255,2.3082032264465
"178","PEIN","BRRA 50%",8,0,-0.509157927049917
"179","PEIN","BRRA 50%",9,33,-0.144558248362146
"180","PEIN","BRRA 50%",10,42,-0.0451219723563897
"2011","PEIN","ERSA 50%",1,38,-0.0893158728033923
"202","PEIN","ERSA 50%",2,155,1.20335571527143
"203","PEIN","ERSA 50%",3,128,0.905046887254166
"204","PEIN","ERSA 50%",4,111,0.717222810354405
"205","PEIN","ERSA 50%",5,167,1.33593741661244
"206","PEIN","ERSA 50%",6,0,-0.509157927049917
"207","PEIN","ERSA 50%",7,0,-0.509157927049917
"208","PEIN","ERSA 50%",8,78,0.352623131666634
"209","PEIN","ERSA 50%",9,59,0.142702104543371
"2101","PEIN","ERSA 50%",10,193,1.62319776951796
"2211","PEIN","IPAQ 50%",1,0,-0.509157927049917
"2221","PEIN","IPAQ 50%",2,37,-0.100364347915143
"223","PEIN","IPAQ 50%",3,0,-0.509157927049917
"224","PEIN","IPAQ 50%",4,0,-0.509157927049917
"225","PEIN","IPAQ 50%",5,0,-0.509157927049917
"226","PEIN","IPAQ 50%",6,0,-0.509157927049917
"227","PEIN","IPAQ 50%",7,0,-0.509157927049917
"228","PEIN","IPAQ 50%",8,0,-0.509157927049917
"229","PEIN","IPAQ 50%",9,299,2.79433613136353
"230","PEIN","IPAQ 50%",10,164,1.30279199127719
"1100","CAAN","CROSS",1,0,-0.424942576873939
"245","CAAN","CROSS",2,361,3.94328670805076
"313","CAAN","CROSS",3,247,2.56384588123243
"413","CAAN","CROSS",4,314,3.37456987594145
"514","CAAN","CROSS",5,321,3.45927238285135
"612","CAAN","CROSS",6,366,4.00378849870069
"713","CAAN","CROSS",7,244,2.52754480684248
"810","CAAN","CROSS",8,388,4.26999637756036
"913","CAAN","CROSS",9,268,2.81795340196213
"1010","CAAN","CROSS",10,0,-0.424942576873939
"1113","CAAN","FLOWER CONTROL",1,0,-0.424942576873939
"1210","CAAN","FLOWER CONTROL",2,0,-0.424942576873939
"1313","CAAN","FLOWER CONTROL",3,341,3.70127954545105
"1410","CAAN","FLOWER CONTROL",4,0,-0.424942576873939
"1513","CAAN","FLOWER CONTROL",5,0,-0.424942576873939
"1613","CAAN","FLOWER CONTROL",6,225,2.29763800237276
"1712","CAAN","FLOWER CONTROL",7,0,-0.424942576873939
"1811","CAAN","FLOWER CONTROL",8,0,-0.424942576873939
"1913","CAAN","FLOWER CONTROL",9,0,-0.424942576873939
"2012","CAAN","FLOWER CONTROL",10,0,-0.424942576873939
"2112","CAAN","CONTROL",1,0,-0.424942576873939
"2212","CAAN","CONTROL",2,0,-0.424942576873939
"2311","CAAN","CONTROL",3,0,-0.424942576873939
"246","CAAN","CONTROL",4,0,-0.424942576873939
"253","CAAN","CONTROL",5,0,-0.424942576873939
"263","CAAN","CONTROL",6,0,-0.424942576873939
"273","CAAN","CONTROL",7,0,-0.424942576873939
"283","CAAN","CONTROL",8,0,-0.424942576873939
"293","CAAN","CONTROL",9,0,-0.424942576873939
"303","CAAN","CONTROL",10,0,-0.424942576873939
"314","CAAN","SELF",1,176,1.70472045400348
"322","CAAN","SELF",2,101,0.797193594254578
"332","CAAN","SELF",3,358,3.9069856336608
"342","CAAN","SELF",4,9,-0.316039353704071
"352","CAAN","SELF",5,0,-0.424942576873939
"362","CAAN","SELF",6,0,-0.424942576873939
"372","CAAN","SELF",7,170,1.63211830522356
"382","CAAN","SELF",8,319,3.43507166659138
"392","CAAN","SELF",9,182,1.77732260278339
"402","CAAN","SELF",10,281,2.97525805765193
"515","CAAN","PEIN 50%",1,0,-0.424942576873939
"523","CAAN","PEIN 50%",2,0,-0.424942576873939
"533","CAAN","PEIN 50%",3,0,-0.424942576873939
"543","CAAN","PEIN 50%",4,0,-0.424942576873939
"553","CAAN","PEIN 50%",5,0,-0.424942576873939
"563","CAAN","PEIN 50%",6,0,-0.424942576873939
"573","CAAN","PEIN 50%",7,0,-0.424942576873939
"583","CAAN","PEIN 50%",8,0,-0.424942576873939
"593","CAAN","PEIN 50%",9,0,-0.424942576873939
"603","CAAN","PEIN 50%",10,0,-0.424942576873939
"714","CAAN","SOLY 50%",1,0,-0.424942576873939
"723","CAAN","SOLY 50%",2,44,0.107473180845415
"733","CAAN","SOLY 50%",3,55,0.240577120275253
"743","CAAN","SOLY 50%",4,101,0.797193594254578
"753","CAAN","SOLY 50%",5,69,0.409982134095048
"763","CAAN","SOLY 50%",6,57,0.264777836535224
"773","CAAN","SOLY 50%",7,0,-0.424942576873939
"783","CAAN","SOLY 50%",8,70,0.422082492225033
"793","CAAN","SOLY 50%",9,21,-0.170835056144247
"803","CAAN","SOLY 50%",10,12,-0.279738279314115
"811","CAAN","BROL 50%",1,0,-0.424942576873939
"821","CAAN","BROL 50%",2,53,0.216376404015283
"831","CAAN","BROL 50%",3,28,-0.08613254923435
"84","CAAN","BROL 50%",4,39,0.0469713901954885
"85","CAAN","BROL 50%",5,7,-0.340240069964042
"86","CAAN","BROL 50%",6,26,-0.110333265494321
"87","CAAN","BROL 50%",7,15,-0.243437204924159
"88","CAAN","BROL 50%",8,121,1.03920075685428
"89","CAAN","BROL 50%",9,49,0.167974971495342
"90","CAAN","BROL 50%",10,0,-0.424942576873939
"1011","CAAN","SOME 50%",1,33,-0.0256307585844234
"1021","CAAN","SOME 50%",2,0,-0.424942576873939
"1031","CAAN","SOME 50%",3,15,-0.243437204924159
"104","CAAN","SOME 50%",4,0,-0.424942576873939
"105","CAAN","SOME 50%",5,17,-0.219236488664188
"106","CAAN","SOME 50%",6,42,0.0832724645854444
"107","CAAN","SOME 50%",7,0,-0.424942576873939
"108","CAAN","SOME 50%",8,0,-0.424942576873939
"109","CAAN","SOME 50%",9,0,-0.424942576873939
"1101","CAAN","SOME 50%",10,0,-0.424942576873939
"1211","CAAN","BRRA 50%",1,0,-0.424942576873939
"1221","CAAN","BRRA 50%",2,58,0.276878194665209
"1231","CAAN","BRRA 50%",3,93,0.700390729214695
"1241","CAAN","BRRA 50%",4,13,-0.26763792118413
"125","CAAN","BRRA 50%",5,0,-0.424942576873939
"126","CAAN","BRRA 50%",6,0,-0.424942576873939
"127","CAAN","BRRA 50%",7,19,-0.195035772404218
"128","CAAN","BRRA 50%",8,25,-0.122433623624306
